epoch,train_loss,train_px_mean,train_px_90p,train_conf_mean
1,1.401550,35.62,96.11,0.846
2,0.882410,28.03,86.03,0.927
3,0.660457,19.62,53.01,0.965
4,0.552430,17.55,45.18,0.973
5,0.508958,14.62,38.12,0.971
6,0.468118,11.68,29.32,0.979
7,0.450756,11.38,20.22,0.978
8,0.440224,9.34,15.23,0.980
9,0.425344,8.37,13.45,0.981
10,0.416254,6.73,12.00,0.983
11,0.400226,6.89,10.63,0.983
12,0.400318,6.75,10.05,0.983
13,0.399894,5.93,8.94,0.986
14,0.378151,5.32,8.54,0.985
15,0.374006,5.11,8.00,0.988
16,0.372327,5.38,8.25,0.987
17,0.393837,5.30,8.06,0.985
18,0.369226,5.18,8.06,0.986
19,0.371997,4.93,7.28,0.987
20,0.355745,4.66,7.62,0.989
21,0.357929,4.51,7.62,0.987
22,0.368421,4.62,7.07,0.992
23,0.359088,4.97,7.28,0.991
24,0.356360,4.14,7.07,0.992
25,0.350131,3.76,6.32,0.991
26,0.349988,4.48,8.06,0.989
27,0.367324,4.22,6.40,0.991
28,0.348053,3.73,6.08,0.993
29,0.342819,4.00,6.08,0.993
30,0.339456,3.11,5.83,0.992
31,0.363757,3.78,6.71,0.991
32,0.342710,3.17,6.08,0.992
33,0.342268,3.87,6.32,0.993
34,0.345999,3.49,6.32,0.990
35,0.341454,3.15,5.83,0.994
36,0.336485,3.30,6.08,0.992
37,0.336191,3.17,5.83,0.992
38,0.344941,3.06,5.83,0.993
39,0.339288,4.11,6.71,0.994
40,0.339348,3.05,5.83,0.994
41,0.332390,3.01,5.66,0.993
42,0.338574,3.16,6.08,0.994
43,0.336576,3.15,6.00,0.994
44,0.335581,3.19,6.00,0.994
45,0.341131,3.06,5.83,0.993
46,0.332666,3.01,5.66,0.994
47,0.330258,3.08,5.83,0.995
48,0.341900,3.11,5.83,0.995
49,0.336061,3.10,5.83,0.994
50,0.328354,2.92,5.39,0.994
51,0.330495,3.11,5.83,0.995
52,0.335203,3.14,6.00,0.994
53,0.326734,2.79,5.10,0.995
54,0.326059,3.01,5.66,0.995
55,0.329755,3.04,5.83,0.995
56,0.328861,2.92,5.39,0.995
57,0.332162,3.38,6.32,0.992
58,0.345813,3.05,5.83,0.994
59,0.328985,3.09,5.83,0.995
60,0.327676,2.71,5.10,0.996
61,0.324570,2.91,5.39,0.995
62,0.326959,2.82,5.10,0.995
63,0.322180,2.67,5.00,0.996
64,0.320037,2.69,5.00,0.996
65,0.321575,2.73,5.10,0.996
66,0.323191,3.05,5.66,0.994
67,0.333504,2.76,5.10,0.996
68,0.327851,2.75,5.10,0.996
69,0.320692,2.75,5.10,0.996
70,0.320611,2.71,5.00,0.996
71,0.323996,3.18,6.00,0.993
72,0.329621,2.69,5.00,0.996
73,0.329672,3.10,5.83,0.996
74,0.337239,2.91,5.39,0.996
75,0.324723,2.77,5.10,0.996
76,0.321510,2.75,5.10,0.996
77,0.318862,2.77,5.01,0.996
78,0.323662,2.82,5.10,0.995
79,0.318675,2.63,5.00,0.997
80,0.315808,2.70,5.00,0.997
81,0.317285,2.62,5.00,0.997
82,0.314406,2.70,5.10,0.996
83,0.317722,2.57,5.00,0.997
84,0.317745,2.65,5.00,0.996
85,0.321305,2.79,5.10,0.997
86,0.314067,2.57,5.00,0.997
87,0.328303,4.33,8.00,0.989
88,0.458352,4.51,8.06,0.986
89,0.347822,3.40,6.32,0.990
90,0.332628,3.10,5.83,0.994
91,0.322528,2.92,5.39,0.995
92,0.318339,2.81,5.10,0.996
93,0.323149,3.05,5.39,0.995
94,0.320125,3.00,5.83,0.995
95,0.325641,2.82,5.10,0.995
96,0.317905,2.68,5.00,0.996
97,0.313673,2.57,5.00,0.997
98,0.315822,2.84,5.39,0.996
99,0.315322,2.69,5.00,0.997
100,0.311525,2.57,5.00,0.997
101,0.320924,2.92,5.39,0.995
102,0.314091,2.67,5.00,0.997
103,0.312866,2.51,5.00,0.997
104,0.310409,2.50,5.00,0.998
105,0.311090,2.47,4.47,0.997
106,0.310898,2.41,4.47,0.997
107,0.309432,2.41,4.47,0.997
108,0.309284,2.50,4.47,0.998
109,0.311460,2.42,4.47,0.997
110,0.308543,2.42,4.47,0.998
111,0.308182,2.41,4.47,0.998
112,0.308594,2.45,4.47,0.998
113,0.316210,2.80,5.10,0.996
114,0.321202,2.72,5.10,0.997
115,0.317557,2.81,5.39,0.996
116,0.338392,2.99,5.66,0.996
117,0.323847,2.94,5.66,0.997
118,0.317934,2.68,5.00,0.997
119,0.316048,2.64,5.00,0.997
120,0.312719,2.46,4.47,0.998
121,0.312616,2.60,5.00,0.997
122,0.314570,2.51,5.00,0.997
123,0.314223,2.48,4.47,0.998
124,0.315471,2.77,5.10,0.997
125,0.311907,2.47,4.47,0.997
126,0.308736,2.46,4.47,0.998
127,0.310789,2.40,4.47,0.998
128,0.307870,2.39,4.47,0.998
129,0.310011,2.64,5.00,0.998
130,0.310089,2.43,4.47,0.998
131,0.310555,2.42,4.47,0.998
132,0.309680,2.49,4.47,0.998
133,0.317711,2.82,5.39,0.997
134,0.320342,2.78,5.10,0.996
135,0.332836,2.60,5.00,0.997
136,0.310836,2.50,4.47,0.998
137,0.308278,2.36,4.24,0.998
138,0.308984,2.36,4.47,0.998
139,0.308097,2.36,4.47,0.998
140,0.310458,2.37,4.47,0.998
141,0.308776,2.45,4.47,0.998
142,0.307486,2.42,4.47,0.998
143,0.307092,2.30,4.24,0.998
144,0.306758,2.35,4.47,0.998
145,0.306598,2.29,4.12,0.998
146,0.306253,2.25,4.12,0.998
147,0.306621,2.26,4.12,0.998
148,0.306412,2.24,4.12,0.998
149,0.306598,2.24,4.12,0.998
150,0.306589,2.27,4.12,0.998
151,0.306519,2.24,4.12,0.998
152,0.305969,2.19,4.12,0.998
153,0.307142,2.27,4.12,0.998
154,0.306914,2.25,4.24,0.998
155,0.306528,2.24,4.12,0.998
156,0.307072,2.18,4.12,0.998
157,0.306267,2.24,4.12,0.998
158,0.395457,4.16,7.21,0.992
159,0.342149,3.00,5.39,0.994
160,0.321475,2.81,5.39,0.996
161,0.317321,2.81,5.10,0.996
162,0.312028,2.54,5.00,0.997
163,0.311229,2.51,4.52,0.997
164,0.308391,2.45,4.47,0.997
165,0.307525,2.42,4.47,0.997
166,0.307125,2.37,4.47,0.998
167,0.306643,2.36,4.47,0.998
168,0.306574,2.36,4.24,0.998
169,0.306322,2.32,4.47,0.998
170,0.306075,2.30,4.24,0.998
171,0.305949,2.30,4.24,0.998
172,0.305914,2.30,4.24,0.998
173,0.305750,2.30,4.24,0.998
174,0.305728,2.26,4.12,0.998
175,0.305588,2.25,4.12,0.998
176,0.305597,2.23,4.12,0.999
177,0.305496,2.22,4.12,0.998
178,0.305568,2.23,4.12,0.998
179,0.305524,2.20,4.12,0.998
180,0.305646,2.24,4.12,0.998
181,0.305770,2.20,4.12,0.998
